Site Name,Site Type             ,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Count,,5,9,12,9,13,13,13,4,2,4,3,4,4,4,4,4,3
AQS Objective,,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
